Date,Close
1/2/2018 16:00:00,30.74
1/3/2018 16:00:00,30.33
1/4/2018 16:00:00,30.31
1/5/2018 16:00:00,30.79
1/8/2018 16:00:00,30.79
1/9/2018 16:00:00,31.01
1/10/2018 16:00:00,31
1/11/2018 16:00:00,32.22
1/12/2018 16:00:00,32.11
1/16/2018 16:00:00,32.19
1/17/2018 16:00:00,32.75
1/18/2018 16:00:00,32.26
1/19/2018 16:00:00,32.9
1/22/2018 16:00:00,33.01
1/23/2018 16:00:00,32.5
1/24/2018 16:00:00,32.49
1/25/2018 16:00:00,33.01
1/26/2018 16:00:00,32.64
1/29/2018 16:00:00,32.26
1/30/2018 16:00:00,32.01
1/31/2018 16:00:00,31.91
2/1/2018 16:00:00,32.24
2/2/2018 16:00:00,31.07
2/5/2018 16:00:00,29.96
2/6/2018 16:00:00,30.66
2/7/2018 16:00:00,29.45
2/8/2018 16:00:00,27.11
2/9/2018 16:00:00,27.56
2/12/2018 16:00:00,27.83
2/13/2018 16:00:00,27.85
2/14/2018 16:00:00,28.45
2/15/2018 16:00:00,28.18
2/16/2018 16:00:00,28.06
2/20/2018 16:00:00,28.45
2/21/2018 16:00:00,27.16
2/22/2018 16:00:00,26.17
2/23/2018 16:00:00,26.67
2/26/2018 16:00:00,27.18
2/27/2018 16:00:00,26.35
2/28/2018 16:00:00,26.61
3/1/2018 16:00:00,26.51
3/2/2018 16:00:00,25.95
3/5/2018 16:00:00,25.55
3/6/2018 16:00:00,26.35
3/7/2018 16:00:00,26.77
3/8/2018 16:00:00,26.42
3/9/2018 16:00:00,27.25
3/12/2018 16:00:00,27.29
3/13/2018 16:00:00,26.95
3/14/2018 16:00:00,27.08
3/15/2018 16:00:00,26.57
3/16/2018 16:00:00,26.66
3/19/2018 16:00:00,26.4
3/20/2018 16:00:00,26.66
3/21/2018 16:00:00,26.49
3/22/2018 16:00:00,26.11
3/23/2018 16:00:00,25.84
3/26/2018 16:00:00,26.59
3/27/2018 16:00:00,26.22
3/28/2018 16:00:00,25.86
3/29/2018 16:00:00,26.26
4/2/2018 16:00:00,25.13
4/3/2018 16:00:00,25.54
4/4/2018 16:00:00,26.01
4/5/2018 16:00:00,26.5
4/6/2018 16:00:00,26.28
4/9/2018 16:00:00,26.32
4/10/2018 16:00:00,26.33
4/11/2018 16:00:00,26.2
4/12/2018 16:00:00,27.02
4/13/2018 16:00:00,26.6
4/16/2018 16:00:00,26.76
4/17/2018 16:00:00,26.79
4/18/2018 16:00:00,27.49
4/19/2018 16:00:00,27.37
4/20/2018 16:00:00,27.5
4/23/2018 16:00:00,27.51
4/24/2018 16:00:00,26.72
4/25/2018 16:00:00,26.26
4/26/2018 16:00:00,29.65
4/27/2018 16:00:00,29.96
4/30/2018 16:00:00,30.31
5/1/2018 16:00:00,30.58
5/2/2018 16:00:00,30.57
5/3/2018 16:00:00,30.5
5/4/2018 16:00:00,30.67
5/7/2018 16:00:00,30.87
5/8/2018 16:00:00,31.77
5/9/2018 16:00:00,31.7
5/10/2018 16:00:00,32.02
5/11/2018 16:00:00,32.24
5/14/2018 16:00:00,33.75
5/15/2018 16:00:00,33.98
5/16/2018 16:00:00,34.31
5/17/2018 16:00:00,35.45
5/18/2018 16:00:00,35.45
5/21/2018 16:00:00,35.18
5/22/2018 16:00:00,34.98
5/23/2018 16:00:00,34.76
5/24/2018 16:00:00,34.79
5/25/2018 16:00:00,34.44
5/29/2018 16:00:00,34.26
5/30/2018 16:00:00,34.35
5/31/2018 16:00:00,34.08
6/1/2018 16:00:00,33.83
6/4/2018 16:00:00,33.72
6/5/2018 16:00:00,33.09
6/6/2018 16:00:00,33.81
6/7/2018 16:00:00,33.73
6/8/2018 16:00:00,32.4
6/11/2018 16:00:00,32.3
6/12/2018 16:00:00,32.47
6/13/2018 16:00:00,31.82
6/14/2018 16:00:00,32.32
6/15/2018 16:00:00,33.07
6/18/2018 16:00:00,33.25
6/19/2018 16:00:00,33.41
6/20/2018 16:00:00,33.85
6/21/2018 16:00:00,34.66
6/22/2018 16:00:00,34.61
6/25/2018 16:00:00,33.7
6/26/2018 16:00:00,34.08
6/27/2018 16:00:00,33.5
6/28/2018 16:00:00,33.5
6/29/2018 16:00:00,33.59
7/2/2018 16:00:00,32.84
7/3/2018 13:00:00,33.74
7/5/2018 16:00:00,33.76
7/6/2018 16:00:00,34.91
7/9/2018 16:00:00,35.04
7/10/2018 16:00:00,35.41
7/11/2018 16:00:00,35.95
7/12/2018 16:00:00,36.45
7/13/2018 16:00:00,36.59
7/16/2018 16:00:00,35.95
7/17/2018 16:00:00,35.72
7/18/2018 16:00:00,35.71
7/19/2018 16:00:00,35.41
7/20/2018 16:00:00,35.54
7/23/2018 16:00:00,35.06
7/24/2018 16:00:00,34.43
7/25/2018 16:00:00,34.16
7/26/2018 16:00:00,32.5
7/27/2018 16:00:00,31.24
7/30/2018 16:00:00,31.45
7/31/2018 16:00:00,32.05
8/1/2018 16:00:00,31.45
8/2/2018 16:00:00,31.64
8/3/2018 16:00:00,32.29
8/6/2018 16:00:00,31.45
8/7/2018 16:00:00,31.25
8/8/2018 16:00:00,31.17
8/9/2018 16:00:00,31.13
8/10/2018 16:00:00,31.47
8/13/2018 16:00:00,30.95
8/14/2018 16:00:00,30.95
8/15/2018 16:00:00,31.05
8/16/2018 16:00:00,32.18
8/17/2018 16:00:00,33.05
8/20/2018 16:00:00,33.82
8/21/2018 16:00:00,34.43
8/22/2018 16:00:00,34.65
8/23/2018 16:00:00,34.84
8/24/2018 16:00:00,34.55
8/27/2018 16:00:00,34.3
8/28/2018 16:00:00,34.51
8/29/2018 16:00:00,34.97
8/30/2018 16:00:00,34.65
8/31/2018 16:00:00,34.46
9/4/2018 16:00:00,33.73
9/5/2018 16:00:00,33.15
9/6/2018 16:00:00,31.37
9/7/2018 16:00:00,32.1
9/10/2018 16:00:00,32.33
9/11/2018 16:00:00,32.59
9/12/2018 16:00:00,32.72
9/13/2018 16:00:00,31.96
9/14/2018 16:00:00,32.39
9/17/2018 16:00:00,32.59
9/18/2018 16:00:00,33
9/19/2018 16:00:00,32.2
9/20/2018 16:00:00,32.56
9/21/2018 16:00:00,32.42
9/24/2018 16:00:00,31.8
9/25/2018 16:00:00,32.34
9/26/2018 16:00:00,32.25
9/27/2018 16:00:00,32.9
9/28/2018 16:00:00,32.92
10/1/2018 16:00:00,32.75
10/2/2018 16:00:00,33.59
10/3/2018 16:00:00,33.92
10/4/2018 16:00:00,32.83
10/5/2018 16:00:00,30.04
10/8/2018 16:00:00,28.46
10/9/2018 16:00:00,28.78
10/10/2018 16:00:00,29.12
10/11/2018 16:00:00,28.57
10/12/2018 16:00:00,29.92
10/15/2018 16:00:00,28.51
10/16/2018 16:00:00,29.12
10/17/2018 16:00:00,29.8
10/18/2018 16:00:00,29.81
10/19/2018 16:00:00,28.15
10/22/2018 16:00:00,26.91
10/23/2018 16:00:00,25.14
10/24/2018 16:00:00,23.74
10/25/2018 16:00:00,24.61
10/26/2018 16:00:00,23.43
10/29/2018 16:00:00,22.38
10/30/2018 16:00:00,23.32
10/31/2018 16:00:00,24.28
11/1/2018 16:00:00,23.88
11/2/2018 16:00:00,23.2
11/5/2018 16:00:00,22.17
11/6/2018 16:00:00,22.23
11/7/2018 16:00:00,22.4
11/8/2018 16:00:00,21.69
11/9/2018 16:00:00,20.92
11/12/2018 16:00:00,20.06
11/13/2018 16:00:00,19.76
11/14/2018 16:00:00,21.32
11/15/2018 16:00:00,21.37
11/16/2018 16:00:00,21.4
11/19/2018 16:00:00,21
