Date,Close
1/4/2018 16:00:00,1.29
1/10/2018 16:00:00,1.23
2/22/2018 16:00:00,1.03
3/13/2018 16:00:00,1.07
3/16/2018 16:00:00,0.94
3/23/2018 16:00:00,0.97
3/26/2018 16:00:00,1
4/11/2018 16:00:00,1.06
4/13/2018 16:00:00,1.2
4/16/2018 16:00:00,1.18
4/17/2018 16:00:00,1.19
4/18/2018 16:00:00,1.18
4/19/2018 16:00:00,1.29
4/20/2018 16:00:00,1.17
4/23/2018 16:00:00,1.2
4/24/2018 16:00:00,1.21
4/25/2018 16:00:00,1.19
4/26/2018 16:00:00,1.2
4/30/2018 16:00:00,1.23
5/1/2018 16:00:00,1.22
5/3/2018 16:00:00,1.26
5/4/2018 16:00:00,1.26
5/8/2018 16:00:00,1.18
5/9/2018 16:00:00,1.2
5/10/2018 16:00:00,1.24
5/11/2018 16:00:00,1.19
5/14/2018 16:00:00,2.21
5/15/2018 16:00:00,3.01
5/16/2018 16:00:00,3.45
5/17/2018 16:00:00,3.3
5/18/2018 16:00:00,2.8
5/21/2018 16:00:00,2.4
5/22/2018 16:00:00,2.47
5/23/2018 16:00:00,2.5
5/24/2018 16:00:00,2.6
5/25/2018 16:00:00,2.51
5/29/2018 16:00:00,2.45
5/30/2018 16:00:00,2.55
5/31/2018 16:00:00,2.55
6/1/2018 16:00:00,2.5
6/4/2018 16:00:00,2.4
6/5/2018 16:00:00,2.26
6/6/2018 16:00:00,2.4
6/7/2018 16:00:00,2.46
6/8/2018 16:00:00,2.22
6/11/2018 16:00:00,2.37
6/12/2018 16:00:00,2.29
6/13/2018 16:00:00,2.14
6/14/2018 16:00:00,2.28
6/15/2018 16:00:00,2.3
6/18/2018 16:00:00,2.25
6/19/2018 16:00:00,2.2
6/20/2018 16:00:00,2.31
6/21/2018 16:00:00,2.24
6/22/2018 16:00:00,2.3
6/25/2018 16:00:00,2.53
6/26/2018 16:00:00,2.54
6/27/2018 16:00:00,2.64
6/28/2018 16:00:00,2.55
6/29/2018 16:00:00,2.67
7/5/2018 16:00:00,2.99
7/6/2018 16:00:00,3.03
7/9/2018 16:00:00,2.81
7/10/2018 16:00:00,2.84
7/11/2018 16:00:00,3.01
7/12/2018 16:00:00,2.91
7/13/2018 16:00:00,2.9
7/16/2018 16:00:00,2.85
7/17/2018 16:00:00,2.58
7/18/2018 16:00:00,2.75
7/19/2018 16:00:00,3.07
7/20/2018 16:00:00,2.95
7/23/2018 16:00:00,2.95
7/25/2018 16:00:00,2.71
7/26/2018 16:00:00,2.72
7/27/2018 16:00:00,2.76
7/30/2018 16:00:00,2.97
7/31/2018 16:00:00,2.77
8/2/2018 16:00:00,2.9
8/3/2018 16:00:00,2.91
8/8/2018 16:00:00,2.66
8/9/2018 16:00:00,2.67
8/10/2018 16:00:00,2.63
8/13/2018 16:00:00,2.65
8/15/2018 16:00:00,2.65
8/16/2018 16:00:00,2.49
8/20/2018 16:00:00,2.3
8/21/2018 16:00:00,2.46
8/23/2018 16:00:00,2.85
8/24/2018 16:00:00,3
8/27/2018 16:00:00,2.99
8/28/2018 16:00:00,3.04
8/29/2018 16:00:00,2.95
8/30/2018 16:00:00,3.1
8/31/2018 16:00:00,3.1
9/4/2018 16:00:00,3.04
9/5/2018 16:00:00,2.71
9/6/2018 16:00:00,2.51
9/7/2018 16:00:00,2.69
9/12/2018 16:00:00,2.65
9/13/2018 16:00:00,2.57
9/14/2018 16:00:00,2.3
9/17/2018 16:00:00,2.61
9/19/2018 16:00:00,2.55
9/20/2018 16:00:00,2.6
9/21/2018 16:00:00,2.57
9/24/2018 16:00:00,2.58
9/26/2018 16:00:00,2.45
10/1/2018 16:00:00,2.36
10/4/2018 16:00:00,2.52
10/5/2018 16:00:00,2.53
10/9/2018 16:00:00,2.41
10/10/2018 16:00:00,2.44
10/11/2018 16:00:00,2.36
10/12/2018 16:00:00,2.3
10/15/2018 16:00:00,2.3
10/16/2018 16:00:00,2.15
10/17/2018 16:00:00,2.28
10/18/2018 16:00:00,2.25
10/22/2018 16:00:00,2.2
10/23/2018 16:00:00,1.99
10/24/2018 16:00:00,1.99
10/25/2018 16:00:00,2.01
10/26/2018 16:00:00,2.01
10/30/2018 16:00:00,2.01
10/31/2018 16:00:00,2.04
11/2/2018 16:00:00,2.04
11/5/2018 16:00:00,1.91
11/6/2018 16:00:00,1.92
11/7/2018 16:00:00,1.93
11/8/2018 16:00:00,2.01
11/14/2018 16:00:00,1.89
11/15/2018 16:00:00,1.91
11/16/2018 16:00:00,2
11/19/2018 16:00:00,1.8
11/20/2018 16:00:00,1.9
11/26/2018 16:00:00,1.9
11/27/2018 16:00:00,1.75
11/28/2018 16:00:00,1.87
11/29/2018 16:00:00,1.87
11/30/2018 16:00:00,1.86
12/3/2018 16:00:00,1.87
12/4/2018 16:00:00,1.71
12/10/2018 16:00:00,1.7
12/11/2018 16:00:00,1.69
12/13/2018 16:00:00,1.58
12/14/2018 16:00:00,1.76
12/17/2018 16:00:00,1.74
12/18/2018 16:00:00,2.15
12/19/2018 16:00:00,2.1
12/20/2018 16:00:00,2.03
12/21/2018 16:00:00,2.03
12/24/2018 13:00:00,1.96
